country,project,finance,stage,xcoord,ycoord
Pakistan,Karot Hydropower Project,1420,Under Construction,8193957.946,3975781.387
Pakistan,Hubco Coal Power Plant,1500,Under Construction,7453785.68,2905990.18
Pakistan,Sahiwal Coal Power Plant,1800,Under Construction,8155378.412,3600591.617
Pakistan,Suki Kinari Hydropower Project,1900,Ongoing,8186996.632,4127449.736
Pakistan,Port Qasim Power Plant,2090,Complete,7493715.875,2849733.131
Pakistan,Kohala Hyropower Project,2400,Under Construction,8201150.956,4054165.874
Pakistan,Karachi Nuclear Power Complex Expansion,6500,Ongoing,7433330.875,2856578.765
Phillipines,Batman 1 Gas Pipeline,319,Planning,13505974.87,1615846.355
Poland,Swinoujscie Liquid Natural Gas Terminal,1054,Completed,1584629.687,7152086.96
Romania,Black Sea Oil Refinery,680,Approved,3189199.058,5518326.413
Romania,Cernavoda Nuclear Power Plant Unit 3 and 4,8000,Signed,3123287.183,5515146.633
Russia,Belgorod Biogas Plant,13,Awarded,4074054.818,6550361.756
Russia,Arctic LNG 2,1200,Ongoing,8745490.752,11368125.7
Russia,Power of Siberia Pipeline,18300,Complete,14198582.97,6495455.796
Russia,Power of Siberia Pipeline,18300,Complete,12070579.34,7430280.882
Russia,Power of Siberia Pipeline,18300,Complete,14683469.04,5330970.572
Russia,Yamal Liquid Natural Gas,27000,Ongoing,7789429.303,11101375.96
South Africa,Kusile Coal Power Plant,5510,Under Construction,3219537.159,-2988085.141
South Africa,Medupi Coal Power Station,10000,Completed,3066519.117,-2714691.898
Tajikistan,Nurek Hydro Power Plant Rehabilitation,325,Under Construction,7718429.184,4634612.928
Tanzania,Symbion Rental Ubungo Power Plant,129,Ongoing,4364673.315,-757988.2757
Tanzania,Mtwara-Dar es Salaam Natural Gas Pipeline,1500,Complete,4363970.341,-794844.9407
Thailand,Nong Khaem Waste-to-Energy Plant,31,Complete,11170373.17,1539855.701
Turkmenistan,Central Asia-China Gas Pipeline,1217,Construction,5873319.12,4886764.41
Turkmenistan,Central Asia-China Gas Pipeline,1217,Construction,6887792.106,4522827.913
Turkmenistan,Central Asia-China Gas Pipeline,1217,Construction,7351654.982,4553740.646
United Arab Emirates,Sweihan Solar Park,871,Ongoing,6169206.024,2846236.798
United Arab Emirates,Hassyan Clean Coal Project,3400,Under Construction,6115059.323,2864933.232
Uganda,Isimba Hydroelectric Power Station,568,Commissioned,3677907.122,85934.88689
Uganda,Karuma Hydroelectric Power Station,1700,Under Construction,3588670.198,250883.9611
Uzbekistan,Dargom Canal Hydropower Plant,30,Planning,7836431.593,5147212.194
Uzbekistan,Angren Coal Power Station,166,Complete,7800767.459,5012812.22
Uzbekistan,Gas to Oil Processing Plant,1200,Ongoing,7315625.371,4701669.74
Uzbekistan,Central Asia-China Gas Pipeline,1217,Construction,7078415.462,4939745.154
Uzbekistan,Central Asia-China Gas Pipeline,1217,Complete,7322691.473,4702635.607
Vietnam,Thai Binh-2 Thermal Power Plant,1200,Ongoing,12038111.66,1238438.226
Vietnam,Vin Tan 1 Thermal Power Plant,1750,Ongoing,11834275.99,2383920.118
Zimbabwe,Hwange Makomo Power Station / Southern Energy Power Project,1488,Shelved,2950283.706,-2077851.568
